product,cycle,eol,latest,release_date,latest_release_date,lts,link,www,discontinued,extendedSupport,support_date,is_supported,eol_date,is_eol,lts_date,is_lts,discontinued_date,is_discontinued,extended_support_date,is_extended_support
almalinux,9,2032-05-31,9.1,2022-05-26,2022-11-17,false,https://almalinux.org/blog/almalinux-91-now-available/,https://endoflife.date/almalinux,,,2027-05-31,,2032-05-31,false,,false,,,,
almalinux,8,2029-03-01,8.7,2021-03-30,2022-11-10,false,https://almalinux.org/blog/almalinux-87-now-available/,https://endoflife.date/almalinux,,,2024-05-01,,2029-03-01,false,,false,,,,
alpine,3.17,2024-11-22,3.17.2,2022-11-22,2023-02-10,false,,https://endoflife.date/alpine,,,,,2024-11-22,false,,false,,,,
alpine,3.16,2024-05-23,3.16.4,2022-05-23,2023-02-10,false,https://alpinelinux.org/posts/Alpine-3.16.3-released.html,https://endoflife.date/alpine,,,,,2024-05-23,false,,false,,,,
alpine,3.15,2023-11-01,3.15.7,2021-11-24,2023-02-10,false,https://alpinelinux.org/posts/Alpine-3.12.12-3.13.10-3.14.6-3.15.4-released.html,https://endoflife.date/alpine,,,,,2023-11-01,false,,false,,,,
alpine,3.14,2023-05-01,3.14.9,2021-06-15,2023-02-10,false,https://alpinelinux.org/posts/Alpine-3.12.12-3.13.10-3.14.6-3.15.4-released.html,https://endoflife.date/alpine,,,,,2023-05-01,false,,false,,,,
alpine,3.13,2022-11-01,3.13.12,2021-01-14,2022-08-09,false,https://alpinelinux.org/posts/Alpine-3.12.12-3.13.10-3.14.6-3.15.4-released.html,https://endoflife.date/alpine,,,,,2022-11-01,false,,false,,,,
alpine,3.12,2022-05-01,3.12.12,2020-05-29,2022-04-04,false,https://alpinelinux.org/posts/Alpine-3.12.12-3.13.10-3.14.6-3.15.4-released.html,https://endoflife.date/alpine,,,,,2022-05-01,false,,false,,,,
alpine,3.11,2021-11-01,3.11.13,2019-12-19,2021-11-12,false,https://alpinelinux.org/posts/Alpine-3.11.13-3.12.9-3.13.7-released.html,https://endoflife.date/alpine,,,,,2021-11-01,false,,false,,,,
alpine,3.10,2021-05-01,3.10.9,2019-06-19,2021-04-14,false,https://alpinelinux.org/posts/Alpine-3.10.9-3.11.11-3.12.7-released.html,https://endoflife.date/alpine,,,,,2021-05-01,false,,false,,,,
alpine,3.9,2021-01-01,3.9.6,2019-01-29,2020-04-23,false,https://alpinelinux.org/posts/Alpine-3.9.6-and-3.10.5-released.html,https://endoflife.date/alpine,,,,,2021-01-01,false,,false,,,,
alpine,3.8,2020-05-01,3.8.5,2018-06-26,2020-01-23,false,https://git.alpinelinux.org/aports/log/?h=3.8-stable,https://endoflife.date/alpine,,,,,2020-05-01,false,,false,,,,
alpine,3.7,2019-11-01,3.7.3,2017-11-30,2019-03-06,false,https://git.alpinelinux.org/aports/log/?h=3.7-stable,https://endoflife.date/alpine,,,,,2019-11-01,false,,false,,,,
amazon-corretto,11,2027-09-01,11.0.18.11.1,2019-02-12,2023-02-02,true,,https://endoflife.date/amazon-corretto,,,,,2027-09-01,false,,true,,,,
amazon-corretto,8,2026-06-30,8.362.10.1,2019-01-30,2023-02-02,true,,https://endoflife.date/amazon-corretto,,,,,2026-06-30,false,,true,,,,
amazon-corretto,19,2023-04-01,19.0.2.7.1,2022-08-16,2023-01-17,false,,https://endoflife.date/amazon-corretto,,,,,2023-04-01,false,,false,,,,
amazon-corretto,17,2029-10-01,17.0.6.10.1,2021-08-20,2023-01-17,true,,https://endoflife.date/amazon-corretto,,,,,2029-10-01,false,,true,,,,
amazon-corretto,18,2022-10-18,18.0.2.9.1,2022-02-10,2022-07-19,false,,https://endoflife.date/amazon-corretto,,,,,2022-10-18,false,,false,,,,
amazon-corretto,16,2021-10-19,16.0.2.7.1,2021-03-15,2021-07-22,false,https://github.com/corretto/corretto-jdk/blob/release-__LATEST__/CHANGELOG.md,https://endoflife.date/amazon-corretto,,,,,2021-10-19,false,,false,,,,
amazon-corretto,15,2021-03-16,15.0.2.7.1,2020-08-24,2021-01-21,false,https://github.com/corretto/corretto-jdk/blob/216fca10a21d6a26ca2846d4ca2861ea644a7a1e/CHANGELOG.md#january-2021-critical-patch-update-corretto-version-150271,https://endoflife.date/amazon-corretto,,,,,2021-03-16,false,,false,,,,
amazon-eks,1.25,2024-05-01,1.25-eks-1,2023-02-21,2023-02-21,false,,https://endoflife.date/amazon-eks,,,,,2024-05-01,false,,false,,,,
amazon-eks,1.24,2024-01-01,1.24-eks-4,2022-11-15,2023-01-27,false,,https://endoflife.date/amazon-eks,,,,,2024-01-01,false,,false,,,,
amazon-eks,1.23,2023-10-01,1.23-eks-6,2022-08-11,2023-01-27,false,,https://endoflife.date/amazon-eks,,,,,2023-10-01,false,,false,,,,
amazon-eks,1.22,2023-05-01,1.22-eks-10,2022-04-04,2023-01-27,false,,https://endoflife.date/amazon-eks,,,,,2023-05-01,false,,false,,,,
amazon-eks,1.21,2023-02-15,1.21-eks-15,2021-07-19,2023-01-27,false,,https://endoflife.date/amazon-eks,,,,,2023-02-15,false,,false,,,,
amazon-eks,1.20,2022-11-01,1.20-eks-12,2021-05-18,2022-12-05,false,,https://endoflife.date/amazon-eks,,,,,2022-11-01,false,,false,,,,
amazon-eks,1.19,2022-08-01,1.19-eks-11,2021-02-16,2022-08-15,false,,https://endoflife.date/amazon-eks,,,,,2022-08-01,false,,false,,,,
amazon-eks,1.18,2022-03-31,1.18-eks-13,2020-10-13,2022-08-15,false,,https://endoflife.date/amazon-eks,,,,,2022-03-31,false,,false,,,,
amazon-linux,2016.03,2023-06-30,2016.03,2016-03-22,,false,https://aws.amazon.com/amazon-linux-ami/2016.03-release-notes/,https://endoflife.date/amazon-linux,,,2020-12-31,,2023-06-30,false,,false,,,,
amazon-linux,2015.09,2023-06-30,2015.09,2015-09-22,,false,https://aws.amazon.com/blogs/aws/now-available-amazon-linux-ami-2015-09/,https://endoflife.date/amazon-linux,,,2020-12-31,,2023-06-30,false,,false,,,,
amazon-linux,2015.03,2023-06-30,2015.03,2015-03-24,,false,https://aws.amazon.com/blogs/aws/now-available-amazon-linux-ami-2015-03/,https://endoflife.date/amazon-linux,,,2020-12-31,,2023-06-30,false,,false,,,,
