product,identifier_type,identifier
almalinux,cpe,cpe:/o:almalinux:almalinux
almalinux,cpe,cpe:2.3:o:almalinux:almalinux
alpine,cpe,cpe:/o:alpinelinux:alpine_linux
alpine,cpe,cpe:2.3:o:alpinelinux:alpine_linux
amazon-linux,cpe,cpe:2.3:o:amazon:linux
amazon-linux,cpe,cpe:2.3:o:amazon:amazon_linux
amazon-linux,cpe,cpe:/o:amazon:linux
amazon-linux,cpe,cpe:/o:amazon:amazon_linux
amazon-linux,purl,pkg:docker/library/amazonlinux
angular,purl,pkg:npm/@angular/core
angular,purl,pkg:github/angular/angular
ansible,purl,pkg:pypi/ansible
ansible,repology,ansible
antix,purl,pkg:os/antix
apache-airflow,purl,pkg:pypi/apache-airflow
apache-airflow,repology,apache-airflow
apache,repology,apache
bootstrap,repology,bootstrap
bootstrap,purl,pkg:npm/bootstrap
bootstrap,purl,pkg:nuget/bootstrap
bootstrap,purl,pkg:gem/bootstrap
bootstrap,purl,pkg:composer/twbs/bootstrap
bootstrap,purl,pkg:github/twbs/bootstrap
centos,cpe,cpe:/o:centos:centos
centos,cpe,cpe:2.3:o:centos:centos
cfengine,repology,cfengine
cfengine,purl,pkg:homebrew/cfengine
composer,purl,pkg:composer/composer/composer
composer,repology,php:composer
composer,purl,pkg:docker/library/composer
composer,purl,pkg:github/composer/composer
consul,repology,consul
consul,purl,pkg:brew/consul
consul,purl,pkg:docker/library/consul
consul,purl,pkg:github/hashicorp/consul
consul,purl,pkg:golang/github.com/hashicorp/consul
couchbase-server,repology,couchbase-server-community
couchbase-server,purl,pkg:docker/library/couchbase
couchbase-server,purl,pkg:docker/couchbase/server
debian,cpe,cpe:2.3:o:debian:debian_linux
debian,cpe,cpe:/o:debian:debian_linux
devuan,purl,pkg:os/devuan
django,repology,python:django
django,purl,pkg:github/django/django
django,purl,pkg:pypi/django
docker-engine,repology,docker
docker-engine,repology,docker-ce
drupal,purl,pkg:composer/drupal/core
drupal,repology,php:drupal
drupal,purl,pkg:docker/bitnami/drupal
